Month,Actual,Forecast,Error,Absolute_Error
1960-01-01,417,421.89859617717775,-4.898596177177751,4.898596177177751
1960-02-01,391,405.4440854069811,-14.444085406981117,14.444085406981117
1960-03-01,419,464.7297035577021,-45.72970355770212,45.72970355770212
1960-04-01,461,453.51024584475647,7.489754155243531,7.489754155243531
1960-05-01,472,477.31054985681044,-5.3105498568104395,5.3105498568104395
1960-06-01,535,534.855601633542,0.14439836645794912,0.14439836645794912
1960-07-01,622,609.4846697273574,12.515330272642586,12.515330272642586
1960-08-01,606,621.61302398714,-15.613023987139968,15.613023987139968
1960-09-01,508,522.6519800266609,-14.651980026660908,14.651980026660908
1960-10-01,461,467.9782396173917,-6.978239617391694,6.978239617391694
1960-11-01,390,423.8237766639502,-33.823776663950184,33.823776663950184
1960-12-01,432,466.20649138032365,-34.206491380323655,34.206491380323655
