Month,Passengers
1949-03-31,120.66666666666667
1949-06-30,128.33333333333334
1949-09-30,144.0
1949-12-31,113.66666666666667
1950-03-31,127.33333333333333
1950-06-30,136.33333333333334
1950-09-30,166.0
1950-12-31,129.0
1951-03-31,157.66666666666666
1951-06-30,171.0
1951-09-30,194.0
1951-12-31,158.0
1952-03-31,181.33333333333334
1952-06-30,194.0
1952-09-30,227.0
1952-12-31,185.66666666666666
1953-03-31,209.33333333333334
1953-06-30,235.66666666666666
1953-09-30,257.6666666666667
1953-12-31,197.33333333333334
1954-03-31,209.0
1954-06-30,241.66666666666666
1954-09-30,284.6666666666667
1954-12-31,220.33333333333334
1955-03-31,247.33333333333334
1955-06-30,284.6666666666667
1955-09-30,341.0
1955-12-31,263.0
1956-03-31,292.6666666666667
1956-06-30,335.0
1956-09-30,391.0
1956-12-31,294.3333333333333
1957-03-31,324.0
1957-06-30,375.0
1957-09-30,445.3333333333333
1957-12-31,329.3333333333333
1958-03-31,340.0
1958-06-30,382.0
1958-09-30,466.6666666666667
1958-12-31,335.3333333333333
1959-03-31,369.3333333333333
1959-06-30,429.3333333333333
1959-09-30,523.3333333333334
1959-12-31,391.3333333333333
1960-03-31,409.0
1960-06-30,489.3333333333333
1960-09-30,578.6666666666666
1960-12-31,427.6666666666667
